sha256,precision_top1,recall_top1,f1_top1,precision_top2,recall_top2,f1_top2,precision_top3,recall_top3,f1_top3,precision_top4,recall_top4,f1_top4,precision_top5,recall_top5,f1_top5
a56e155faefc72a0f5174e27670cd9f8e8c66a646744feedd0211e37f6aef6fb,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
a9643eb83d509ad4eac20a2a89d8571f8d781979ad078e89f5b75b4bcb16f65e,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
aa4f7751fc54cee2396f8083e33e4471a837e9af6f24e7ac07e0eeaf502cd424,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
aff635f2d8d4ebb7a65f076f9dc1f61e6b8ed7610d5b99170cc305ac1f4537ff,1.0,0.25,0.4,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
b5e73c65a92abd6d8ea6040739e6b71a207035f1517f3813c56fbac937b8ff06,0.0,0.0,0,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
b28ce0c2c493aa1dc75dba08c48379fb69d23bb6d0b131fc201984e7dadbbdf8,1.0,0.25,0.4,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
b370a4f93fb6e655f131329f027615c6828cdfc7002d7b0692f5d28e952c2194,0.0,0.0,0,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
bb5991cded52d75cc97376be8799f0d6e5d36ebf84b92c3d6f69946d131cab50,1.0,0.5,0.6667,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
bc0ed3e73b8d1fdc839f2e8ed3578ca3221dba4eb984e581cb00dfb4cdfb7d49,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
bfc673b442809a22a48e4c70d5027c925c8eaa56caee77ff6f896d480d78dcc2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
c1ffc1401ec94705eefd0d7e204e74cc26179fb7d23b6305cb26bef0446acbc5,0.0,0.0,0,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
c197da0fda316a92c66744bf13c77891e9f39cc10fbfebc42285a8b4761440b5,0.0,0.0,0,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
c659b1a6e09e7d7b98b368984d8d8e70ceee5666e3a7f54cf5a0fd90cc9f0eea,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
c286536081ae21b1210e9b2d44cad98ba7849dcfcc1e3c864e9e60216682bd27,1.0,0.5,0.6667,1.0,1.0,1.0,0.6667,1.0,0.8,0.5,1.0,0.6667,0.4,1.0,0.5714
cc29aec6f8aad1e459d14849a31e949e662c9fca5b9ab0510fcdff80ac082a0f,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
0b525aaa05e206258e8e98f05fcc621a0c8d4df69138970a1447e57d157c6331,0.0,0.0,0,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
0c16eba5e2bf7db79087c0b25d0e8e219514797ff8294bbb8276ae25aac04aa3,1.0,0.5,0.6667,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
0c649e8575cdd0baf7ffcbe08c1e906a0d6adcc3e7612c86ebdd93882854ddee,1.0,0.5,0.6667,0.5,0.5,0.5,0.6667,1.0,0.8,0.5,1.0,0.6667,0.4,1.0,0.5714
0dfea63a285f52350b532242d21b34444dfd9199416d2809f9a9e6647003ca94,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
0f6b5e0bd39fa3eb5e33212d1c180bacf9441a908986bd5e36eadaddb22e80ea,1.0,0.5,0.6667,0.5,0.5,0.5,0.6667,1.0,0.8,0.5,1.0,0.6667,0.4,1.0,0.5714
0fe9e5ab7b3a291fe7ba1646079046ddf7022501189950a3958a2fae4dfb31d8,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.5,0.4,0.4444,0.4,0.4,0.4
0fed79a59d3224424da47a06f87f901e8676a3042f5dc878e095312c3f6c0081,0.0,0.0,0,0.0,0.0,0,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
1b7d2ae0faed1db793cfcf75e11cc0308c69af37540d27b9dbd104d0f850a658,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.75,0.6,0.6667,0.6,0.6,0.6
1c6b0eb5c224c46a65fb5022852905a1293a148bd97bb81593b813e8ed814ba8,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
1fdf23401a81a5b558b87e91316f8104167fa88d6a849a17d1dc4f372582ef6a,0.0,0.0,0,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
2c3c48eb14ac08eccacfab102ab7c7ba4f2e1de5bd7f2b28e950ea37df9a741b,0.0,0.0,0,0.0,0.0,0,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
2cda28e9bb4a8823f5a82fde5ee2313cb7898fd17facc933984ccc926841822b,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
